file,kernel,warmth,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,AGGREGATE,warm,Warps launched,"177,040.00",
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Exec insns,"3,196,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Total insns,"3,196,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Global ld insns,"288,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Global st insns,"14,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Shared ld insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Shared st insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Int insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,FP16 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,FP32 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,FP64 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Mem insns (thr),"20,736,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,HFMA,"1,382,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,HMUL,"921,600",inst
